"BR","UF ","Tipo de trecho","Desc Coinc","Código","Local de Início","Local de Fim","km inicial","km final","Extensão","Superfície Federal","Obras","Federal Coincidente","Administração","Ato legal","Estadual Coincidente","Superfície Est. Coincidente","Jurisdição","Superfície","Unidade Local"
"020","BA","Eixo Principal","-","020BBA0235","ENTR BA-463 (P/SÃO DESIDÉRIO)","RODA VELHA","129.9","135.9","6","PAV","","020BBA0235","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0240","RODA VELHA","ENTR BR-242(A) (LUIS EDUARDO MAGALHÃES)","135.9","212.1","76.2","PAV","","020BBA0240","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0250","ENTR BR-242(A) (LUIS EDUARDO MAGALHÃES)","FIM DUPLICAÇÃO","212.1","217.8","5.7","DUP","","020BBA0250;242BBA0335","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0255","FIM DUPLICAÇÃO","ENTR BA-459","217.8","236.9","19.1","PAV","","020BBA0255;242BBA0333","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0257","ENTR BA-459","ENTR BR-135(A)/242(B) (BARREIRAS)","236.9","298.9","62","PAV","","020BBA0257;242BBA0330","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0260","ENTR BR-135(A)/242(B) (BARREIRAS)","CONTORNO DE BARREIRAS","298.9","304.6","5.7","PAV","","020BBA0260;135BBA0575;242BBA0325","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0265","CONTORNO DE BARREIRAS","P/ RIACHÃO DAS NEVES","304.6","351.4","46.8","PAV","","020BBA0265;135BBA0570","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0270","P/ RIACHÃO DAS NEVES","ENTR BR-135(B)/BA-451 (MONTE ALEGRE)","351.4","398.1","46.7","PAV","","020BBA0270;135BBA0550","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0280","ENTR BR-135(B)/BA-451 (MONTE ALEGRE)","ACESSO A SANTA RITA DE CÁSSIA","398.1","464.6","66.5","PLA","","020BBA0280","Estadual","","BA-451","PAV","Estadual","PLA",""
"020","BA","Eixo Principal","-","020BBA0290","ACESSO A SANTA RITA DE CÁSSIA","ACESSO A MANSIDÃO","464.6","546.7","82.1","PLA","","020BBA0290","Federal","","","","Federal","PLA",""
